an@gmail.com;Andrea;Ryholt;1997-05-21;true;Senior;true
ju@mail.com;Julie;Breum;1998-09-16;true;Senior;false
la@mail.com;Lasse;Thomsen;2002-05-10;false;Junior;true
mi@gmail.dk;Michelle;Hantamil;1995-02-12;true;Motionist;false
k@afk.dk;or;vn;2025-04-30;true;Junior;false
ffffq@fq.haqr;gnpr;qhano;1957-05-14;true;Senior;false
egq@aogb.fojo;agnklv;bapi;1974-11-12;true;Senior;true
la@gmail.dk;lasse;thomsen;2003-02-08;true;Senior;true
l@@.;louis;grim;2003-08-05;true;Senior;false
kage@1.dk;kage;gla;2005-05-05;false;Senior;true
